"entrez","genes","chr","start","end","strand"
"100039957","Gm2518","chr19",8846975,8848974,"+"
"100039968","Gm12942","chr4",126799060,126801059,"+"
"100040016","Rhox2e","chrX",34782987,34784986,"+"
"100040022","Gm20822","chrY_random",6426619,6428618,"+"
"100040031","Gm20823","chrY_random",15822127,15824126,"+"
"100040048","Ccl27b","chr4",42022168,42024167,"+"
"100040049","1810010D01Rik","chr7",152394025,152396024,"-"
"100040160","Gm20826","chrY_random",16923233,16925232,"+"
"100040201","Gm10229","chr16",89013522,89015521,"+"
"100040208","Gm2663","chr6",40949479,40951478,"-"
"100040223","Gm20831","chrY_random",9455269,9457268,"-"
"100040233","Gm10334","chr6",41396097,41398096,"-"
"100040248","Gm11563","chr11",99520274,99522273,"-"
"100040259","Gm16379","chr9",14650216,14652215,"-"
"100040268","Olfr157","chr4",43849390,43851389,"-"
"100040276","Gm11595","chr11",99634228,99636227,"-"
"100040294","Gm2694","chr8",89994711,89996710,"+"
"100040322","3830408C21Rik","chr13",107810650,107812649,"+"
"100040462","Mndal","chr1",175798892,175800891,"-"
"100040531","Dynlt1f","chr17",6598796,6600795,"+"
"100040533","Gm2825","chrX",30975793,30977792,"+"
"100040591","Kcnj13","chr1",89291305,89293304,"-"
"100040599","Gm15319","chr8",19958781,19960780,"-"
"100040606","Gm2863","chrX",31350998,31352997,"-"
"100040608","Fancf","chr7",59117638,59119637,"-"
"100040617","Gm12603","chr4",88694211,88696210,"+"
"100040635","Gm15023","chrX",132027127,132029126,"+"
"100040671","Gm2897","chr14",3047286,3049285,"+"
"100040724","Mirg","chr12",110965974,110967973,"+"
"100040736","Foxd2os","chr4",114579894,114581893,"+"
"100040766","Mroh2a","chr1",90121595,90123594,"+"
"100040786","Gm20852","chrY_random",17983608,17985607,"-"
"100040843","Cyp4a32","chr4",115271543,115273542,"+"
"100040851","Gm9767","chr10",25796061,25798060,"+"
"100040852","Gm3002","chr14",3918624,3920623,"+"
"100040854","Gm13040","chr4",143099215,143101214,"+"
"100040861","Gm13057","chr4",143139603,143141602,"+"
"100040867","Gm16405","chrX",51832385,51834384,"+"
"100040880","Gm3020","chr14",3531791,3533790,"+"
"100040911","Gm20854","chrY_random",18517133,18519132,"+"
"100040937","Gm16390","chrX",151324811,151326810,"-"
"100040972","Tceal7","chrX",132756580,132758579,"+"
"100040999","Gm3086","chr12",71062396,71064395,"+"
"100041077","Gm13102","chr4",143687783,143689782,"+"
"100041085","G630090E17Rik","chr10",39679960,39681959,"-"
"100041096","Iqcf6","chr9",106526913,106528912,"+"
"100041187","Olfr596","chr7",110456237,110458236,"+"
"100041223","Gm20865","chrY_random",52588933,52590932,"+"
"100041230","Hist1h4m","chr13",21901615,21903614,"+"
"100041231","Gm3219","chr14",35156241,35158240,"+"
"100041244","Gm3230","chr2",19579525,19581524,"-"
"100041253","AU018829","chr5",95292541,95294540,"+"
"100041256","Gm20867","chrY_random",44064623,44066622,"+"
"100041261","Gm3238","chr10",77234071,77236070,"-"
"100041290","D4Ertd617e","chr4",118297009,118299008,"+"
"100041294","Gm3258","chr10",31134242,31136241,"-"
"100041311","Gm11978","chr11",6560240,6562239,"-"
"100041351","Gm3285","chr10",77290212,77292211,"+"
"100041352","Tcp10c","chr17",13545438,13547437,"+"
"100041354","Gm3286","chr5",95566294,95568293,"+"
"100041375","Cyp3a41b","chr5",146531713,146533712,"-"
"100041379","Gm13242","chr4",145258600,145260599,"+"
"100041412","Gm11938","chr11",99464623,99466622,"-"
"100041449","Cyp3a59","chr5",146888834,146890833,"+"
"100041488","Gm11937","chr11",99471504,99473503,"-"
"100041546","Ly6c2","chr15",74942380,74944379,"-"
"100041550","Gm20877","chrY_random",8783444,8785443,"-"
"100041574","9030025P20Rik","chr17",15113828,15115827,"+"
"100041576","Gm3414","chr5",46118818,46120817,"-"
"100041581","Zkscan16","chr4",58954500,58956499,"+"
"100041586","Gm3417","chr17",15115777,15117776,"-"
"100041605","Gm3428","chr9",35657466,35659465,"-"
"100041618","Gm3434","chr9",35943216,35945215,"-"
"100041621","Gm3435","chr17",15144804,15146803,"+"
"100041655","Gm10863","chr15",78994496,78996495,"+"
"100041658","Mup7","chr4",60083348,60085347,"-"
"100041677","Gm13157","chr4",147183896,147185895,"-"
"100041687","Mup8","chr4",60235472,60237471,"-"
"100041688","Gm10104","chr8",22202717,22204716,"+"
"100041694","Gm10451","chr12",77543484,77545483,"+"
"100041724","Gm15217","chr14",46997142,46999141,"+"
"100041759","Gm15293","chr8",22339283,22341282,"+"
"100041787","Gm15292","chr8",22387441,22389440,"+"
"100041811","Gm15299","chr8",22453225,22455224,"+"
"100041890","Gm15308","chr8",22637502,22639501,"+"
"100041895","Gm14850","chr8",22673858,22675857,"+"
"100041952","Gm15315","chr8",22774269,22776268,"+"
"100041979","Gm3604","chr13",62484535,62486534,"-"
"100042049","Gm15421","chr5",22034849,22036848,"-"
"100042056","9130019P16Rik","chr6",54229071,54231070,"-"
"100042065","Gm3646","chr1",39862178,39864177,"-"
"100042149","Gm3696","chr14",7937972,7939971,"-"
"100042150","Nrg2","chr18",36356815,36358814,"-"
"100042165","BC005561","chr5",104935371,104937370,"+"
"100042173","Rps15a-ps6","chr11",6073335,6075334,"-"
"100042254","Gm3750","chrX",3746194,3748193,"+"
"100042314","Gm10639","chr9",78135735,78137734,"+"
"100042332","2810410L24Rik","chr11",120051171,120053170,"-"
"100042342","Gm10375","chr14",44185679,44187678,"-"
"100042415","Mnd1-ps","chr14",10714609,10716608,"+"
"100042428","Gm20917","chrY_random",28836096,28838095,"+"
"100042437","Vmn1r79","chr7",12759542,12761541,"+"
"100042450","Gm16532","chr7",6365886,6367885,"+"
"100042453","Gm3852","chr1",46069109,46071108,"-"
"100042464","2610203C20Rik","chr9",41387422,41389421,"+"
"100042480","Nhsl2","chrX",99042724,99044723,"+"
"100042485","Gm3867","chr9",36065909,36067908,"-"
"100042498","Mir22hg","chr11",75273041,75275040,"+"
"100042499","Vmn2r55","chr7",13270341,13272340,"-"
"100042539","Gm3893","chr4",41761294,41763293,"+"
"100042555","Gm13305","chr4",42103892,42105891,"-"
"100042584","Gm16523","chr2",39017756,39019755,"-"
"100042591","Vmn2r31","chr7",7352339,7354338,"-"
"100042636","Vmn2r34","chr7",7642110,7644109,"-"
"100042653","Vmn2r36","chr7",8555272,8557271,"+"
"100042679","Gm16386","chr17",22954715,22956714,"-"
"100042715","Gm3985","chr8",34060499,34062498,"-"
"100042757","Gm4013","chr18",42434852,42436851,"-"
"100042761","Gm10697","chr3",93876567,93878566,"-"
"100042781","Vmn2r40","chr7",9244439,9246438,"+"
"100042782","Gm14458","chrX",8563882,8565881,"-"
"100042784","Prdm11","chr2",92886302,92888301,"-"
"100042786","Gm16381","chr12",88985571,88987570,"-"
"100042810","Vmn2r45","chr7",9636311,9638310,"+"
"100042848","Vmn2r41","chr7",9963779,9965778,"+"
"100042855","Gm10267","chr18",44318958,44320957,"-"
"100042891","Vmn2r47","chr7",8244255,8246254,"+"
"100042894","Vmn2r46","chr7",8315009,8317008,"+"
"100042921","Vmn2r51","chr7",10691009,10693008,"-"
"100042922","Gm14483","chrX",10874383,10876382,"+"
"100042948","Gm15760","chr16",20548630,20550629,"-"
"100042964","Gm4133","chr7",20919415,20921414,"-"
"100042966","Vmn1r-ps79","chr7",20944268,20946267,"-"
"100042976","Gm4141","chr7",23350363,23352362,"-"
"100042996","Vmn1r114","chr7",21597206,21599205,"-"
"100043013","Vmn1r126","chr7",22086487,22088486,"-"
"100043016","Vmn1r131","chr7",21488236,21490235,"-"
"100043025","Gm4177","chr7",22581748,22583747,"-"
"100043034","Rex2","chr4",146344051,146346050,"+"
"100043040","1110002L01Rik","chr12",3426748,3428747,"-"
"100043051","Vmn1r149","chr7",21027943,21029942,"-"
"100043057","Tmem207","chr16",26526858,26528857,"-"
"100043058","Gm10665","chr7",21060275,21062274,"-"
"100043061","Gm4201","chr7",21161591,21163590,"-"
"100043067","Vmn1r158","chr7",23575802,23577801,"-"
"100043079","Gm4214","chr7",22546495,22548494,"-"
"100043083","Gm4216","chr7",23804943,23806942,"-"
"100043101","Vmn1r168","chr7",24323739,24325738,"+"
"100043102","4632428C04Rik","chr16",30006753,30008752,"+"
"100043103","Vmn1r169","chr7",24360204,24362203,"+"
"100043108","Cyp2c69","chr19",39961260,39963259,"-"
"100043125","Gm11711","chr11",114888327,114890326,"-"
"100043133","9130023H24Rik","chr7",135381546,135383545,"-"
"100043160","Gm10012","chr17",26039173,26041172,"-"
"100043188","Gm10696","chr3",93982116,93984115,"-"
"100043194","Sult2a2","chr7",14316855,14318854,"+"
"100043200","Olfr819","chr10",129403755,129405754,"-"
"100043213","5330434G04Rik","chrX",102587094,102589093,"-"
"100043216","Gm4297","chrX",24152022,24154021,"-"
"100043224","Gm4301","chr10",99796310,99798309,"+"
"100043225","Gm16378","chr8",125363478,125365477,"+"
"100043227","Gm4302","chr10",99806604,99808603,"+"
"100043229","Gm10046","chr7",28548692,28550691,"+"
"100043232","3110099E03Rik","chr2",115337938,115339937,"-"
"100043239","Gm4307","chr10",99801472,99803471,"+"
"100043247","Gm4312","chr10",99827133,99829132,"+"
"100043254","Nps","chr7",142458302,142460301,"+"
"100043272","Inafm2","chr2",118569498,118571497,"+"
"100043292","Gm4340","chr10",103603569,103605568,"+"
"100043305","Gm4349","chr3",95229271,95231270,"+"
"100043314","Tigit","chr16",43664298,43666297,"-"
"100043315","LOC100043315","chr15",94979750,94981749,"-"
"100043335","Gm4371","chr15",96011231,96013230,"+"
"100043381","Gm14308","chr2",175962488,175964487,"+"
"100043387","Gm14305","chr2",176453231,176455230,"+"
"100043424","Gm14005","chr2",128255088,128257087,"-"
"100043450","AA387883","chr19",52995671,52997670,"+"
"100043468","Zfp955b","chr17",33424489,33426488,"+"
"100043474","Gm4461","chr17",33353297,33355296,"-"
"100043513","Gm4489","chr10",121554753,121556752,"+"
"100043523","Gm4498","chr7",21697367,21699366,"-"
"100043536","Vmn1r100","chr7",21001291,21003290,"+"
"100043569","Vmn1r112","chr7",21554204,21556203,"+"
"100043580","Gm4532","chr7",134376645,134378644,"-"
"100043585","Gm4535","chr7",148590434,148592433,"+"
"100043595","Gm4541","chr7",21194233,21196232,"+"
"100043604","Vmn1r132","chr7",22377150,22379149,"+"
"100043609","Gm14207","chr2",119151934,119153933,"-"
"100043614","Vmn1r137","chr7",21252267,21254266,"+"
"100043636","AI662270","chr11",83035078,83037077,"+"
"100043644","Gm4566","chr17",71691145,71693144,"-"
"100043667","Vmn1r165","chr7",24000351,24002350,"+"
"100043682","Gm10584","chr7",139505347,139507346,"+"
"100043684","Amy2a4","chr3",113089674,113091673,"-"
"100043686","Amy2a3","chr3",113154883,113156882,"-"
"100043706","Gm4598","chr7",25444313,25446312,"+"
"100043757","Zfp831","chr2",174467035,174469034,"+"
"100043766","Gm14057","chr2",130629838,130631837,"-"
"100043860","Scgb1b24","chr7",34526818,34528817,"+"
"100043861","Klrb1","chr6",128657820,128659819,"-"
"100043868","Scgb1b30","chr7",34878450,34880449,"+"
"100043885","Gm4710","chr17",76258363,76260362,"+"
"100043899","R3hdml","chr2",163316054,163318053,"+"
"100043902","Six3os1","chr17",86015084,86017083,"-"
"100043910","A630075F10Rik","chr2",169896172,169898171,"-"
"100043911","Ppp4r1l-ps","chr2",173485041,173487040,"-"
"100044509","Tgfbr3l","chr8",4246214,4248213,"+"
"100045653","Gm17769","chr10",76879121,76881120,"+"
"100048658","Ddx43","chr9",78241584,78243583,"+"
"100048884","LOC100048884","chr4",61335129,61337128,"-"
"100048885","Gm2083","chr4",60675268,60677267,"-"
"100048895","9330020H09Rik","chr15",98395755,98397754,"+"
"100049545","Mir741","chrX",64050051,64052050,"-"
"100049546","Mir743","chrX",64029994,64031993,"-"
"100049547","Mir804","chr11",50171382,50173381,"-"
"100049548","Mir742","chrX",64033613,64035612,"-"
"100049549","Mir181d","chr8",86702687,86704686,"-"
"100049710","Mir290a","chr7",3216627,3218626,"+"
"100061","Lrrc19","chr4",94316836,94318835,"-"
"100066","Cyp2j11","chr4",96015372,96017371,"-"
"100072","Camta1","chr4",150460320,150462319,"-"
"100073351","Yy2","chrX",154036648,154038647,"-"
"100087","Kti12","chr4",108518462,108520461,"+"
"100088","Rcc1","chr4",131901666,131903665,"-"
"100090","Zbtb48","chr4",151401781,151403780,"-"
"100093700","Gm10400","chr6",141287074,141289073,"+"
"100101806","Srp54c","chr12",56329465,56331464,"+"
"100101807","1700047I17Rik2","chr12",56298579,56300578,"+"
"100102","Pcsk9","chr4",106136931,106138930,"-"
"100113364","Snora15","chr5",130298437,130300436,"+"
"100113398","Adat3","chr10",80063625,80065624,"+"
"100121","Tdrd7","chr4",45976206,45978205,"+"
"100124431","Mir18b","chrX",50095591,50097590,"-"
"100124432","Mir193b","chr16",13447616,13449615,"+"
"100124433","Mir208b","chr14",55594614,55596613,"-"
"100124438","Mir343","chr7",19969992,19971991,"+"
"100124439","Mir344-2","chr7",69084993,69086992,"-"
"100124441","Mir465c-1","chrX",64085773,64087772,"-"
"100124447","Mir467d","chr2",10427257,10429256,"+"
"100124449","Mir509","chrX",65263355,65265354,"-"
"100124451","Mir574","chr5",65359557,65361556,"+"
"100124452","Mir598","chr14",64344026,64346025,"+"
"100124453","Mir654","chr12",110959428,110961427,"+"
"100124456","Mir872","chr4",94329848,94331847,"+"
"100124457","Mir873a","chr4",36615620,36617619,"-"
"100124458","Mir876","chr4",36592487,36594486,"-"
"100124459","Mir877","chr17",36097760,36099759,"-"
"100124460","Mir881","chrX",64055197,64057196,"-"
"100124461","Mir882","chr12",110918407,110920406,"+"
"100124462","Mir883a","chrX",64034009,64036008,"-"
"100124463","Mir105","chrX",69836919,69838918,"-"
"100124464","Mir465c-2","chrX",64079211,64081210,"-"
"100124466","Mir493","chr12",110816443,110818442,"+"
"100124467","Mir568","chr16",43638768,43640767,"+"
"100124468","Mir653","chr6",3671386,3673385,"-"
"100124469","Mir875","chr15",35590803,35592802,"-"
"100124470","Mir92b","chr3",89031121,89033120,"-"
"100124473","Mir465b-1","chrX",64082456,64084455,"-"
"100124476","Mir504","chrX",56350914,56352913,"-"
"100124478","Mir871","chrX",64063680,64065679,"-"
"100124479","Mir878","chrX",64054761,64056760,"-"
"100124480","Mir880","chrX",64053783,64055782,"-"
"100124481","Mir190b","chr3",89871942,89873941,"+"
"100124482","Mir297a-3","chr2",10435447,10437446,"+"
"100124484","Mir453","chr12",110971829,110973828,"+"
"100124488","Mir511","chr2",14180630,14182629,"+"
"100124489","Mir582","chr13",110112938,110114937,"+"
"100124491","Mir874","chr13",58124562,58126561,"-"
"100124492","Mir879","chr5",9373704,9375703,"+"
"100124493","Mir883b","chrX",64043143,64045142,"-"
"100124494","Mir421","chrX",100768336,100770335,"-"
"100124495","Mir466g","chr2",10434222,10436221,"+"
"100124496","Mir743b","chrX",64030508,64032507,"-"
"100124649","Mir683-2","chr13",50696450,50698449,"-"
"100125339","A230020J21Rik","chr1",192847230,192849229,"+"
"100125586","Vmn2r2","chr3",63941403,63943402,"-"
"100125931","Phtf1os","chr3",103772240,103774239,"-"
"100126226","5430421N21Rik","chr15",101321944,101323943,"-"
"100126765","Esp36","chr17",38557131,38559130,"-"
"100126768","Esp31","chr17",38774392,38776391,"+"
"100126773","Esp34","chr17",38689137,38691136,"+"
"100126777","Esp4","chr17",40733543,40735542,"+"
"100126778","Esp8","chr17",40654971,40656970,"+"
"100126779","Esp23","chr17",39213983,39215982,"-"
"100127111","Snord22","chr19",8798356,8800355,"+"
"100129","Gpr153","chr4",151646471,151648470,"+"
"100134990","Gm12060","chr11",23458843,23460842,"-"
"100135653","Rhox3b","chrX",34834550,34836549,"+"
"100135654","Rhox3c","chrX",34882375,34884374,"+"
"100135657","Rhox3e","chrX",34959473,34961472,"+"
"100163","Pafah2","chr4",133950275,133952274,"+"
"100165","AI507597","chr4",141168285,141170284,"+"
"100169","Phactr4","chr4",131978362,131980361,"-"
"100169874","Gm11110","chr17",57245366,57247365,"-"
"100169878","Gm10941","chr10",76721969,76723968,"-"
"100169889","Peg3os","chr7",6657471,6659470,"+"
"100170401","EU599041","chr7",50467409,50469408,"+"
"100177","Zmym6","chr4",126752627,126754626,"+"
"100182","Akna","chr4",63064480,63066479,"-"
"100189605","Mup19","chr4",61443259,61445258,"-"
"100190765","Mir449b","chr13",113825627,113827626,"+"
"100191037","Krtap10-4","chr10",77289816,77291815,"-"
"100198","H6pd","chr4",149377291,149379290,"-"
"100201","Tmem64","chr4",15190967,15192966,"+"
"100206","Adprhl2","chr4",125998948,126000947,"-"
"100210","Gpn2","chr4",133138288,133140287,"+"
"100213","Rusc2","chr4",43392854,43394853,"+"
"100216455","Gm14124","chr2",150081253,150083252,"+"
"100216474","Ttll2","chr17",7557046,7559045,"-"
"100216531","Snord1b","chr11",116533461,116535460,"+"
"100216532","Snord2","chr16",23107026,23109025,"+"
"100216533","Snord55","chr4",116828454,116830453,"-"
"100216534","Snord96a","chr11",48613535,48615534,"+"
"100216535","Scarna9","chr9",15130775,15132774,"-"
"100216536","Snord1c","chr11",116531819,116533818,"+"
"100216537","Snord104","chr11",106360305,106362304,"+"
"100216538","Snord1a","chr11",116533911,116535910,"+"
"100216539","Snord4a","chr11",77995259,77997258,"-"
"100216540","Snord95","chr11",48614641,48616640,"+"
"100217413","Scarna10","chr6",125136450,125138449,"-"
"100217414","Scarna3a","chr1",161268438,161270437,"+"
"100217415","Scarna6","chr1",89679146,89681145,"+"
"100217416","Snora2b","chr15",98356891,98358890,"-"
"100217417","Snora34","chr15",98350266,98352265,"-"
"100217418","Snora44","chr4",131863868,131865867,"+"
"100217419","Snora52","chr7",148632732,148634731,"+"
"100217420","Snora81","chr16",23108843,23110842,"+"
"100217421","Snord11","chr1",59759652,59761651,"+"
"100217423","Snord19","chr14",31829459,31831458,"-"
"100217424","Snord38a","chr4",116827180,116829179,"-"
"100217425","Snord45c","chr3",153575154,153577153,"-"
"100217426","Snord49b","chr11",62414588,62416587,"+"
"100217427","Snord52","chr17",35087954,35089953,"-"
"100217428","Snord57","chr2",130101762,130103761,"+"
"100217429","Snord64","chr7",67123743,67125742,"-"
"100217430","Snord66","chr16",20682329,20684328,"+"
"100217431","Snord69","chr14",31827538,31829537,"-"
"100217432","Snord71","chr8",112361212,112363211,"+"
"100217433","Snord88a","chr7",51503520,51505519,"+"
"100217434","Snord88c","chr7",51503225,51505224,"+"
"100217435","Snord90","chr2",37255649,37257648,"-"
"100217436","Snord93","chr5",23354415,23356414,"+"
"100217437","Snord99","chr4",131864618,131866617,"+"
"100217438","Scarna2","chr3",108357321,108359320,"-"
"100217439","Snora19","chr19",25016782,25018781,"-"
"100217440","Snora61","chr4",131864222,131866221,"+"
"100217441","Snord23","chr7",16524210,16526209,"-"
"100217442","Snora30","chr7",134653516,134655515,"+"
"100217443","Snord12","chr2",166888793,166890792,"+"
"100217444","Snord65","chr11",62416032,62418031,"+"
"100217445","Snord8","chr14",52829560,52831559,"-"
"100217446","Snord47","chr1",162966223,162968222,"+"
"100217447","Scarna3b","chr12",81492725,81494724,"-"
"100217448","Scarna8","chr4",86232475,86234474,"-"
"100217449","Snora36b","chr1",187064805,187066804,"+"
"100217450","Snora47","chr13",96098535,96100534,"+"
"100217451","Snora7a","chr6",115758122,115760121,"-"
"100217452","Snord110","chr2",130099251,130101250,"+"
"100217453","Snord16a","chr9",64021239,64023238,"+"
"100217454","Snord37","chr10",80639706,80641705,"+"
"100217455","Snord49a","chr11",62414962,62416961,"+"
"100217456","Snord53","chr17",71988229,71990228,"+"
"100217457","Snord58b","chr14",52686990,52688989,"+"
"100217458","Snord67","chr2",91434238,91436237,"+"
"100217459","Snord70","chr1",59746802,59748801,"+"
"100217460","Snord85","chr4",130303553,130305552,"+"
"100217461","Snord89","chr1",39605686,39607685,"-"
"100217462","Snord92","chr17",71978631,71980630,"+"
"100217464","Snora41","chr1",63223597,63225596,"+"
"100217465","Snord111","chr8",113362499,113364498,"-"
"100217466","Scarna17","chr18",74938110,74940109,"-"
"100217467","Snora5c","chr11",6520423,6522422,"-"
"100217468","Snord45b","chr3",153573576,153575575,"-"
"100217469","Snord91a","chr11",74716948,74718947,"+"
"100226","Stx12","chr4",132440374,132442373,"-"
"100233175","AK010878","chr12",103996021,103998020,"-"
"100233207","Gm17359","chr3",79147298,79149297,"+"
"100233208","Gm10778","chr10",81109814,81111813,"+"
"100270707","Gm14379","chrX",6951051,6953050,"+"
"100270744","Btbd18","chr2",84497236,84499235,"+"
"100271704","Gm17660","chr5",104506628,104508627,"-"
"100271841","Uckl1os","chr2",181311185,181313184,"+"
"100271882","Gm14139","chr2",150005491,150007490,"+"
"100271928","Gm15881","chr8",61179594,61181593,"-"
"100272219","AA543186","chr2",25188092,25190091,"-"
"100272221","Gm17801","chr17",25409069,25411068,"+"
"100273","Osbpl9","chr4",108790642,108792641,"-"
